timestamp,min_hr,max_hr,avg_hr,latest_hr
1743539400000,60,90,75,80
1743539402000,62,92,77,82
1743539404000,64,94,79,84
1743539405000,65,95,80,85
1743539418000,78,108,93,98
1743539419000,79,109,94,99
1743539420000,80,110,95,100
1743539421000,81,111,96,101
1743539423000,83,113,98,103
1743539424000,84,114,99,104
1743539426000,86,116,101,106
1743539427000,87,117,102,107
1743539428000,88,118,103,108
1743539429000,89,119,104,109
1743539430000,90,120,105,110
1743539431000,91,121,106,111
1743539432000,92,122,107,112
1743539433000,93,123,108,113
1743539434000,94,124,109,114
1743539435000,95,125,110,115
1743539436000,96,126,111,116
1743539437000,97,127,112,117
1743539438000,98,128,113,118
1743539439000,99,129,114,119
1743539440000,100,130,115,120
1743539441000,101,131,116,121
1743539442000,102,132,117,122
1743539443000,103,133,118,123
1743539444000,104,134,119,124
1743539445000,105,135,120,125
1743539446000,106,136,121,126
1743539447000,107,137,122,127
1743539448000,108,138,123,128
1743539449000,109,139,124,129
1743546600000,60,100,80,85
1743546700000,62,98,80,83
1743546800000,61,101,81,84
1743546900000,63,97,79,82
1743547000000,64,99,80,81
1743547100000,65,100,82,86
1743547200000,67,102,83,87
1743547300000,66,99,81,85
1743547400000,68,101,82,86
1743547500000,69,100,83,88
1743547600000,70,103,84,89
1743547700000,71,102,85,87
1743547800000,72,104,86,90
1743547900000,73,103,87,91
1743548000000,74,105,88,92
1743548100000,75,104,89,93
1743548200000,76,106,90,94
1743548300000,77,107,91,95
1743548400000,78,108,92,96
1743548500000,79,109,93,97
1743548600000,80,110,94,98
1743548700000,81,111,95,99
1743548800000,82,112,96,100
1743548900000,83,113,97,101
1743549000000,84,114,98,102
1743549100000,85,115,99,103
1743549200000,86,116,100,104
1743549300000,87,117,101,105
1743549400000,88,118,102,106
1743549500000,89,119,103,107
1743549600000,90,120,104,108
1743549700000,91,121,105,109
1743549800000,92,122,106,110
1743549900000,93,123,107,111
1743550100000,95,125,109,113
1743550300000,97,127,111,115
1743550400000,98,128,112,116
1743550500000,99,129,113,117
1743550600000,100,130,114,118
1743550700000,101,131,115,119
1743550800000,102,132,116,120
1743550900000,103,133,117,121
1743551000000,104,134,118,122
1743551100000,105,135,119,123
1743552100000,115,145,129,133
1743552200000,116,146,130,134
1743552300000,117,147,131,135
1743552400000,118,148,132,136
1743552500000,119,149,133,137
1743552600000,120,150,134,138
1743552700000,121,151,135,139
1743552800000,122,152,136,140
1743552900000,123,153,137,141
1743553000000,124,154,138,142
1743611400000,60,90,75,80
1743611401000,62,92,77,82
1743611402000,61,91,76,81
1743611403000,64,94,79,84
1743611404000,63,93,78,83
1743611405000,65,95,80,85
1743611406000,66,96,81,86
1743611407000,64,94,79,84
1743611408000,62,92,77,82
1743611409000,63,93,78,83
1743611410000,65,95,80,85
1743611411000,60,90,75,80
1743611412000,66,96,81,86
1743611413000,61,91,76,81
1743611414000,64,94,79,84
1743611415000,62,92,77,82
1743611416000,65,95,80,85
1743611417000,63,93,78,83
1743611418000,66,96,81,86
1743611419000,64,94,79,84
1743611420000,66,96,81,86
1743611421000,60,90,75,80
1743611422000,63,93,78,83
1743611423000,65,95,80,85
1743611424000,64,94,79,84
1743611425000,62,92,77,82
1743611426000,66,96,81,86
1743611427000,60,90,75,80
1743611428000,64,94,79,84
1743611429000,65,95,80,85
1743611430000,61,91,76,81
1743611431000,62,92,77,82
1743611432000,63,93,78,83
1743611434000,66,96,81,86
1743611435000,65,95,80,85
1743611445000,62,92,77,82
1743611446000,63,93,78,83
1743611447000,64,94,79,84
1743611448000,65,95,80,85
